walletId,defaultTicket,goldTicket
FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,250,50
AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,250,50
9ZbjGVwvADQ8roWVYXywvut9Thmv5GwtZV2oCtiNuLqS,250,50
Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,250,50
2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,250,50
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,250,50
3koLk37wAS18EBcb78Rf9YVR3sW93wEYMkop1bJRzgBw,250,50
F9kTBuNEVezYtmJQApyJXsgNekyNfpKYiUynY2g7c9Lq,250,50
3qragjibZ8fgNk8DA3AbQaDNuMjrENXLMZfDXMWeDvUp,250,50
ALhnZ9aJ5i7nbavs6GKvWYhvFHZ9447zJddWWcSTkMxp,250,50
3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,200,30
2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,200,30
BNfZ4gsiRFY6g6nyKbRNKuABQUvc3EW1uJ4MxH57qbKg,200,30
FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,200,30
4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,200,30
5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,200,30
93fEEKfEuWKv5qgMGjNueW3ZpKLUipYyZ4zUBFbBrywy,200,30
FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,200,30
EGiJCaMqQazuWAM9Xd9BiHMJvgsNmWRd8QzFFhT4pmUF,200,30
2BYcTnRET4xvTNMBRP1oDXEggmcbrFtpjDUV3YinfD5m,200,30
AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,200,30
4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,200,30
FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,200,30
E3zN6kwwQiq7PTSV9vMm8MB6tPCiKu3zUKcZ1Ngi9ni1,200,30
C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,200,30
67KwKAa7up54Tdh3sKuKK57dBU5cF5qyMG1ZsToXQyFu,200,30
52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,200,30
6LC79WWC1q5MfnpSvyfqcFDrKESquEzkiFufdswcKiSP,200,30
HXovyrg9cZvSMuNW9uPm1sHmLeKtedQcPvrQce3qgHeC,200,30
5LfCTYxVQKkjhPeUrYjZhFdVyAguAsVKM4Mq5mJdUfHy,200,30
E7E9WewcokpvBi8unYept7Xi1zHizJXDviPi5vcF5uZP,200,30
86Q4v6WD77rcSLkxrTUmGMDEYT5gqWoaoxBnZmV2cCbA,200,30
9vMd1mMR9ZV3PcgjuT3zNPubUHkt2QXiNmZ2xZhRhc6a,200,30
2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,200,30
CfUFT2BjTyC5ooYjDFUcAr9TgyXr3BtmDDipCEC1PdTW,200,30
FKj4Fetvcahoj94ESKPKYPQ5hFTVMEGB3cT88ZMBD9Tm,200,30
FZLEkUG4fqVYv9tEWNzmTHTdpoXXmSGMi9abwJxSCA15,200,30
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,200,30
hcZrNh2P4VRMTHGEsfPrP1Fg6P4yJUqCxuhrRVqqiEx,200,30
B6PDwbcVWLx4NgZt8QQARpSPe4LQtYuhmLVJV7phVrEx,200,30
7tyven3oZc81b2TS6LXwYkKok933b7nRAFB74dQiWXmo,200,30
5EfTHngPDgv9EordBzixNMNT9hJWAAvbzMoYdi7iNav2,200,30
FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,200,30
9ZQRDQyzvX1WAn9VLhKXa1AFigpH2tJoEJyHdTzVcVQu,200,30
92pgcXNFM3KoHLrqmbSScJfNy2B8R8RKGnpH8DUJvQsq,200,30
C57WkPritXJaSnQwbmw4jws4C6dDBePjVV9dwcY5NWqq,200,30
7NC8Y4cKtNQHx3dXubEUXArR3zwVpPU2pbarGEcFYqoq,200,30
8mCpEcwBVhZke6MtjrQ8b3nMKd1VZRH4Ldxh4Ydpm1tJ,200,30
5rTRUS8J94T4d4Y5yW9nPvT9oqJJNBrNmbRV7qC3dSci,200,30
B47o7agrPKpp28LEbDBBgaZxHx4ra3qr45kmQ3ZsiBQm,200,30
CLvoorVXyX244AGDLrRU1gXSJEv9E8btyLvRhmSh7KXi,100,15
2oRcws4z6hMxMrLLP8tT2ixejUdfRfrNdg3cppUNbmSq,100,15
9AuQivUAFvyAQ91FTFzk5wkRSYVThTSFWxCfc5L95Xmt,100,15
FzCU2eXhuixnKohUUrGYC64T27Qz7ZrdCwKE8Czd8B7e,100,15
39KvrNX9tDKyYoRu8DqBLNbStR4ejMU9HU5HtjUjzQsW,100,15
C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,100,15
DDEUwnU6Ko7LJiYBSN9XKv7GyowXv5DW2GR4A7v96t5a,100,15
9oeCFus3WC5mXtRTaMYY7GSFCf8aNcAyhbHpgm2tKQz7,100,15
H4ySyPFjXshAWvZ2mMUyLGmVVB3NgcZUG7tcNFxNF66v,100,15
DfTqPf6v4i7HuZvmRix2aeTGDapspvgBvNwLKP5JhvGE,100,15
9V1f9fqAxHCBGMotQFq38tDk8PZxMbmgKDoqLeZdqYDK,100,15
Cj73sNP45XLpqSPSNQaMmVrsstNYmB4kKuBGpYKS5kBT,100,15
BuE7uUd9a8o4Tsw8v11nrAnFQgSSXF2WjzeZtZYZ13h1,100,15
7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,100,15
9fGMD1yQHNu5TfVsJRo7x9kCBTgqx9o4eRFcPuZfcr1c,100,15
CWGHtx5DTUNCjb5b4jgyu1x4Bi9Jc1Vkm23D9HnzFjcQ,100,15
728oVFv17aWhzjrnyZ6X5kLMdy3Zu2ngUmoVLNHcT4Zf,100,15
6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,100,15
ABbVp7NFR7mwtJ9z3uteJi15gxKePjFtSFsQXA6j2ixP,100,15
FjGgqcpCNRcksRzMHRimgHsvCLr5EkCmrkRWTp9CeMAr,100,15
FgXxvngJSZAbdiWokN38xc6koixx6QazJfHJ5fvDwmNH,100,15
7VzRBspssaxkwCXSvnMfT6KM1LRk9CvYShcWAmGYuRg5,100,15
6kU22XxT98yXgtUhgVJE8gacxKVUCVLd5r81doeyoae3,100,15
3thr5ofhZRDpPDd4BYMEi1RXUwkeJPyLTw7Qnq1Z6aZ1,100,15
5iBUcr1g9RvkMpTDRxfCtHH1fKuaCKn8Bxgo9swhRBGG,100,15
8aApPZdTCpzySBFnP6GBsXkk4KDjjtjFL2XsZhnaE2Tp,100,15
9vuVpV8XjY7WTd9deiX3XKq53eZbtnaE8J3PZHnuSkiw,100,15
ExHaaJBntmesZrwWsvTXB8CyRehGb7QfMQgXkSQECoxk,100,15
2kMXwrAbo6DMKGzzyToTYTdVYPsqKtn8wq2UJDM5M7nE,100,15
9obQiVbynaS55rQRJHVW9uDEwQ8oWFesKzazBb2Lu2gD,100,15
8S8kfQrqyAMqJkB9ZcJKbHgHwFBYMhfCu35n3wvF9vZh,100,15
CnnGaFbJ85E3UTfzm2gqQuGzkK3W3o2KkipKFemBEtnT,100,15
EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,100,15
4JCZUq72QyY5k2rNnaz6VJAYKcR5TpRksQ28gHisxntt,100,15
4rU9NTDjYsK6VkMLc4SWfbsbLeyjaHRYers27R6wa9GL,100,15
2xj4uMssAWAxN6ibx8bUMQhWRSTwLSgEjB2QymdJCqLX,100,15
FzuEfP8GHEVRcTdAFvu5Psxex77ESmvLHwZZZbTTDVb9,100,15
3D9VAFYou1uWdFxSFBj3KzPTBXpXVNTttX1BZJ2UQP4a,100,15
9hQ4DrKRv15VimW76ve5ZFb6AA3Q6bJjn8SZGfZC93xx,100,15
6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,100,15
3RuWNCp2U8NkdHH5tP3P5V9Y8EZN8rMEZQHuQ71F2G1T,100,15
J7de8GXfrvkKDwdsp9ZC8zPAedFQLLwrd6PedjuWb8is,100,15
4QUZBp5RvB8jzyXmeRvUqfgrvikf3R43VkRYssyxPBLh,100,15
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,100,15
6VphTGR3svs2WensjYHEyBrZEj8Au7xVsA4RWeJQ9kwp,100,15
BdgPMPbN5DVpRni9WR962dxxxDB88NqjAfZg1uJhCa3X,100,15
8qFABfwHQQJAg4b5W62LekVCTvR2GXgVxMLnPomfUeKu,100,15
9VWAi29Sed85gERDQWYCovM7UMN7d2pL2wsj8oFD6sRe,100,15
B7VYvbo8qFEfisDD2izdssXoKowWi8pc87wu2vcgQ2cM,100,15
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,100,15
CEZT7vgDPfCriksFrkvfmawRjVTg8wrFYY7xnjz98qpT,50,5
EUaHhHnAu1pJ7wLsyHYBiNKBHHsECmoSzmHh68wTKx1D,50,5
7irD8xgJW4sZhwtTi2aFaCmrGabLitJSmRmAVzGHzQmA,50,5
5hLoNW1SgmqTgLCw1xYyF5BhF7VxPSsVemqviitN9ZvX,50,5
61w6KSfvBpEdYgyiqRVoNU9e5kDcXMzaLUr5HASeJjhp,50,5
GaHmQvmHyPFey1p4tgiDgaz8fvAkxEQ6b7cRwMn5kbJQ,50,5
Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,50,5
6f6E1hTYrt1GQmQdoZRc6Q3hetazpR9NdA5pcn8miizE,50,5
88GW6eSHhkyYr6n4YemzFYs8T1swNBMSVpxn3GrLEXKv,50,5
9mNR6Wz3YpS5nCTRSuX8nCTavmfndEdnYkthc3mg8qDs,50,5
GjFveoPYPj2KZwDHRckx9Mb3LzGgwjYVWP8wcJ4HMP5K,50,5
6XHbA1R2HvB9sn7rAUNcDJZEChaDiaqfjafinVkcP6qB,50,5
CEw46U5swbDHnr5KspqGJcc1FR5DEDn6o3vDnkRa7Fwa,50,5
CBwKMSZPu7fFXZApUHSuhPJSk959njB9ndPLSdUijKYo,50,5
6eQNjqFysvyQbahN7P1n62G4qJDdGUn3sbJyNtpZSzcc,50,5
ANXaWmVgFPKa1ngqx1KnUhKi6Xi81B9KXvmp8cKqtqcp,50,5
AL8AAEKXuqxDzqLu91W4sQPMR13KNTfVBXcVq86uhGjs,50,5
FVrfzVXNUbUAYYA3QGKZaqQwbmmNy7EouKs85do765fY,50,5
6G5t8vdwGjVhhrLU37pgamMaTZfgcWUiKfmb9HHDtoVa,50,5
Day71ejTWxGygVZjKxe42tUMGc8WTqXwQLPB3Fwsx5GR,50,5
HDu9DUEm4B2H3JFTtogn2ovpv8Fc9QbrxFtfXn96MGCD,50,5
7S5sbBx3kTTgaYyN3jaZVwmhAwSeYaeLTtABLR6UBWU1,50,5
A4ALCDetWkWCzVy9hLGVTykf9gHRBPskNruTorw8MsFy,50,5
3ag1pgAQEW97FwxYK9E79o9G1QC47yt3wf14HntHFHo6,50,5
8DECpkLEeEmbrTVK4ysGmuqujrZd7Pb1jTwBBM6jcknv,50,5
9YN8Q1siXKLzDMSGKrA5Ppr3Xjr9ungonxovjkEPDdqD,50,5
5KPSVwDfUV4GUfCqPQHg4FjRnJqSTCLtyapPTSJNuGS4,50,5
8gLMsfczqWXjCxH6LMuKJTQ2fKaT2naACpLarMxxd7eP,50,5
FGDHQFJwTMmPdzqzxqD4ZQwgP5SPLGKtfpD9oWou6sMq,50,5
5YQ12Cm7VmD8heHNh7JXKsD38Go7VrhuBirdG2hxXLt4,50,5
7RDhHrbQF6st2fjodzmHZevy3cb2G92WcoNX53syBCiR,50,5
CS5Ewd6pm9xFDyDX4oByQ5jneiXqiUJjLdSKAJyrr8YF,50,5
DHePLicWMMMVha1Z3YNUu6KKtuqNapMpGfaCFifNV2tU,50,5
2dVmNWrnp7QUKUaex9qqXBpVL7iMa9g1fnF6W4jHEMEQ,50,5
7auaB3YpoBQCY7Phau9sxvzmfKLcrdR2s8bwY7dcqrDn,50,5
9nL4wPd5SzvtnDQ8wq8zodMrTGK8txPeRQ9MW9UVvBcH,50,5
EqoBAJTuFxzV8xXp81Gwi1fAaom32i9BxtpCtq5EAJLo,50,5
8ryawRYsGcBn4VduJFvDUbb3CV4tUZ1cjk515hJcFTJV,50,5
FKeDej5eBq4EcSH19QF3493DUaJRPDNrZ9LLobKc6knx,50,5
9t3jSCXFGB3Xmf3qffd6k5CBZczaQqTP5zqbLq9JDTEs,50,5
GefkwpoQmJV2jB6SmbsS9vH53u4YbwZM1FhhREoP7nMV,50,5
9DBuiJFmKnajsLZq2ATZR6VBiGPgVyamEYdU62r8YYGS,50,5
937fkvdfBZCjcZ9y5EhSkECNyWLkFExQ1xgWQzy7q4UF,50,5
5eEfN6YHHwXN5ia9RGph5SDPep5xihGB5Y6tPQVnSEXX,50,5
D6FMG1nxZAZcPgVjfKcxKzSoTuWUrm3gwABmgn9cdyX4,50,5
8b1Hcv1wRYDY4qUCoR3AgcLfE59qshZQ3eeiCAVkNuCy,50,5
ZojB5FizdoDWJvg2JBtDymLP1efvTxTC1HYyYUtceay,50,5
6Hnvr4o7L74VbWxagtC4AuMmpNjFpfM1wCazm4WM9zER,50,5
9pTkzT4UqJWTui4m4VgbCCZ2K6f8FaSp94Luz85kWu87,50,5
DZfEKewcW9hVzst5sexoqj2thm5UwPiLtJZ8iKy8oUxo,50,5
